Model,Configuration,Final_responses,TypeNum,EntryNum,ValueNum,EntryDependencyNum,ValueDependencyNum,TotalNum
DDmethod,case10-github.yaml,"****[Resource Type Errors: []]
****[Configuration Entry Errors: ['Resources.PHAWS::Serverless::Api.Properties.Cors']]
*****[Configuration Entry Value Errors: ['0.0.1', 'AwsSamExample', ""exports.handler = async (event) => {\n  const response = {\n    statusCode: 200,\n    body: JSON.stringify('Hello from Lambda!'),\n  };\n  return response;\n};\n"", '/mypath']]
*****[Configuration Entry Depenency Errors: lacking []]
****[Configuration Value Depenency Errors: lacking []]",0,1,4,0,0,5
DDmethod,case11-github.yaml,"****[Resource Type Errors: []]
****[Configuration Entry Errors: ['Resources.PHAWS::Serverless::Function.Properties.Events.PHApi.Properties.Auth.OverrideApiAuth', 'Resources.PHAWS::Cognito::UserPool.Properties.UserPoolName']]
*****[Configuration Entry Value Errors: ['2016-09-23T22:23:23Z', 'Simple Api', 'MyLambdaRequestAuth', ""exports.handler = async (event, context, callback) => {\n  return {\n    statusCode: 200,\n    body: 'Success'\n  }\n}\n"", 'MyLambdaRequestAuth', '/lambda-request', 'NONE', '/lambda-request-override-none', 'MyCognitoAuthorizer', '/lambda-request-override-cognito', ""exports.handler = async (event, context, callback) => {\n  const auth = event.queryStringParameters.authorization\n  const policyDocument = {\n    Version: '2012-10-17',\n    Statement: [{\n      Action: 'execute-api:Invoke',\n      Effect: auth && auth.toLowerCase() === 'allow' ? 'Allow' : 'Deny',\n      Resource: event.methodArn\n    }]\n  }\n  \n  return {\n    principalId: 'user',\n    context: {},\n    policyDocument\n  }\n}\n"", 'MyCognitoUserPool', 'MyCognitoUserPoolClient']]
*****[Configuration Entry Depenency Errors: lacking []]
****[Configuration Value Depenency Errors: lacking []]",0,2,13,0,0,15
DDmethod,case12-github.yaml,"****[Resource Type Errors: []]
****[Configuration Entry Errors: []]
*****[Configuration Entry Value Errors: ['Dev', 'VerifyIAMAuthorizer', './cmd/authorizer', './cmd/test', 'MyServerlessAPI']]
*****[Configuration Entry Depenency Errors: lacking []]
****[Configuration Value Depenency Errors: lacking []]",0,0,5,0,0,5
DDmethod,case13-github.yaml,"****[Resource Type Errors: []]
****[Configuration Entry Errors: ['Resources.PHAWS::Serverless::Api.Properties.Models.User.properties.username.type', 'Resources.PHAWS::Serverless::Function.Properties.Events.PHApi.Properties.RequestModel.Required', 'Resources.PHAWS::Logs::LogGroup.DeletionPolicy', 'Resources.PHAWS::Serverless::Api.Properties.Models.User.type', 'Resources.PHAWS::Logs::LogGroup.Properties.LogGroupName', 'Resources.PHAWS::Serverless::Api.Properties.AccessLogSetting.DestinationArn.Fn::GetAtt', 'Resources.PHAWS::Serverless::Function.Properties.Events.PHApi.Properties.RequestModel.Model']]
*****[Configuration Entry Value Errors: [30, '3.0.1', '$context.requestId', ""exports.handler = async (event, context, callback) => {\n  return {\n    statusCode: 200,\n    body: 'Success'\n  }\n}\n"", '/none']]
*****[Configuration Entry Depenency Errors: lacking []]
****[Configuration Value Depenency Errors: lacking []]",0,7,5,0,0,12
DDmethod,case14-github.yaml,"****[Resource Type Errors: ['AWS::ApiGateway::UsagePlan', 'AWS::ApiGateway::ApiKey', 'AWS::ApiGateway::UsagePlanKey']]
****[Configuration Entry Errors: ['Resources.PHAWS::ApiGateway::ApiKey.Properties.Enabled', 'Resources.PHAWS::ApiGateway::UsagePlanKey.Properties.UsagePlanId.Ref', 'Resources.PHAWS::ApiGateway::ApiKey.Properties.StageKeys', 'Resources.PHAWS::ApiGateway::UsagePlanKey.Type', 'Resources.PHAWS::ApiGateway::UsagePlanKey.Properties.KeyType', 'Resources.PHAWS::ApiGateway::UsagePlan.Type', 'Resources.PHAWS::Cognito::UserPool.Properties.UserPoolName', 'Resources.PHAWS::ApiGateway::UsagePlan.Properties.ApiStages', 'Resources.PHAWS::ApiGateway::UsagePlanKey.Properties.KeyId.Ref', 'Resources.PHAWS::ApiGateway::ApiKey.DependsOn', 'Resources.PHAWS::ApiGateway::ApiKey.Type']]
*****[Configuration Entry Value Errors: ['MyAuthorizerV1', ""exports.handler = async (event, context, callback) => {\n  return {\n    statusCode: 200,\n    body: 'Success'\n  }\n}\n"", 'MyAuthorizerV1', '/v2/test', 'MyAuthorizerV2', 'MyCognitoUserPool', 'MyCognitoUserPoolClient']]
*****[Configuration Entry Depenency Errors: lacking []]
****[Configuration Value Depenency Errors: lacking []]",3,11,7,0,0,21
DDmethod,case15-github.yaml,"****[Resource Type Errors: []]
****[Configuration Entry Errors: []]
*****[Configuration Entry Value Errors: ['index.get', ""module.exports = async () => { throw new Error('Check out the response headers!') }"", '/error']]
*****[Configuration Entry Depenency Errors: lacking []]
****[Configuration Value Depenency Errors: lacking []]",0,0,3,0,0,3
DDmethod,case16-github.yaml,"****[Resource Type Errors: ['AWS::ApplicationInsights::Application', 'AWS::ResourceGroups::Group', 'CLOUDFORMATION_STACK_1_0']]
****[Configuration Entry Errors: ['Resources.PHAWS::ApplicationInsights::Application.Properties.ResourceGroupName.Ref', 'Resources.PHAWS::ApplicationInsights::Application.Properties.AutoConfigurationEnabled', 'Resources.PHAWS::ResourceGroups::Group.Properties.Name.Fn::Sub', 'Resources.PHAWS::ApplicationInsights::Application.Type', 'Resources.PHAWS::ResourceGroups::Group.Properties.PHCLOUDFORMATION_STACK_1_0.Type', 'Resources.PHAWS::ResourceGroups::Group.Type']]
*****[Configuration Entry Value Errors: ['python3.10', 'Listen to S3', 'S3 Listener Function ARN', 'S3ListenerFunction.Arn']]
*****[Configuration Entry Depenency Errors: lacking []]
****[Configuration Value Depenency Errors: lacking []]",3,6,4,0,0,13
DDmethod,case17-github.yaml,"****[Resource Type Errors: []]
****[Configuration Entry Errors: []]
*****[Configuration Entry Value Errors: [['AWS::LanguageExtensions', 'AWS::Serverless-2016-10-31'], 'Foo service.', 'The token identifying the deployment environment, such as ""dev"", ""dev3"", or ""dev-jdoe"".', '\\w[\\w-]*', 'The development environment identifier must only use word characters and dashes.', 'java17', 800, 4, 'foo-${Env}-LambdaHandler', 'com.example.LambdaHandler::handleRequest']]
*****[Configuration Entry Depenency Errors: lacking []]
****[Configuration Value Depenency Errors: lacking []]",0,0,10,0,0,10
DDmethod,case18-github.yaml,"****[Resource Type Errors: ['OAUTH', 'NO_ARTIFACTS', 'AWS::CodeBuild::Project', 'LINUX_CONTAINER', 'GITHUB', 'NO_CACHE']]
****[Configuration Entry Errors: ['Resources.PHAWS::CodeBuild::Project.Properties.PHLINUX_CONTAINER.ImagePullCredentialsType', 'Resources.PHAWS::CodeBuild::Project.Properties.PHGITHUB.PHOAUTH.Type', 'Resources.PHAWS::CodeBuild::Project.Properties.Description', 'Resources.PHAWS::CodeBuild::Project.Properties.Name', 'Resources.PHAWS::S3::Bucket.Properties.BucketName', 'Resources.PHAWS::CodeBuild::Project.Properties.ServiceRole.Ref', 'Resources.PHAWS::CodeBuild::Project.Properties.PHLINUX_CONTAINER.ComputeType', 'Resources.PHAWS::CodeBuild::Project.Type', 'Resources.PHAWS::CodeBuild::Project.Properties.PHNO_CACHE.Type', 'Resources.PHAWS::CodeBuild::Project.Properties.BadgeEnabled', 'Resources.PHAWS::CodeBuild::Project.Properties.PHGITHUB.Location', 'Resources.PHAWS::CodeBuild::Project.Properties.PHNO_ARTIFACTS.Type', 'Resources.PHAWS::CodeBuild::Project.Properties.PHLINUX_CONTAINER.Image', 'Resources.PHAWS::CodeBuild::Project.Properties.Triggers.FilterGroups', 'Resources.PHAWS::CodeBuild::Project.Properties.EncryptionKey.Fn::Sub', 'Resources.PHAWS::CodeBuild::Project.Properties.PHLINUX_CONTAINER.PrivilegedMode', 'Resources.PHAWS::CodeBuild::Project.Properties.PHGITHUB.Type', 'Resources.PHAWS::CodeBuild::Project.Properties.PHLINUX_CONTAINER.Type', 'Resources.PHAWS::CodeBuild::Project.Properties.PHLINUX_CONTAINER.EnvironmentVariables', 'Resources.PHAWS::CodeBuild::Project.Properties.Triggers.Webhook']]
*****[Configuration Entry Value Errors: ['Codebuild heic layer\n', 'photosai-codebuild-role', [{'Effect': 'Allow', 'Principal': {'Service': ['codebuild.amazonaws.com']}, 'Action': ['sts:AssumeRole']}], [{'PolicyName': 'codebuild-policy', 'PolicyDocument': {'Version': '2012-10-17', 'Statement': [{'Effect': 'Allow', 'Action': ['logs:CreateLogGroup', 'logs:CreateLogStream', 'logs:PutLogEvents'], 'Resource': 'arn:aws:logs:*:*:*'}, {'Effect': 'Allow', 'Action': ['s3:PutObject', 's3:PutObjectAcl', 's3:GetObject'], 'Resource': {'Fn::Sub': 'arn:aws:s3:::${DeploymentBucket}/*'}}, {'Effect': 'Allow', 'Action': ['lambda:AddLayerVersionPermission', 'lambda:PublishLayerVersion', 'lambda:GetLayerVersion', 'lambda:DeleteLayerVersion', 'lambda:ListLayerVersions', 'lambda:ListLayers', 'lambda:RemoveLayerVersionPermission'], 'Resource': '*'}, {'Effect': 'Allow', 'Action': ['cloudformation:CreateChangeSet', 'cloudformation:DescribeStacks', 'cloudformation:DescribeStackEvents', 'cloudformation:DescribeChangeSet', 'cloudformation:ExecuteChangeSet'], 'Resource': '*'}]}}]]]
*****[Configuration Entry Depenency Errors: lacking []]
****[Configuration Value Depenency Errors: lacking []]",6,20,4,0,0,30
DDmethod,case19-github.yaml,"****[Resource Type Errors: ['AWS::CertificateManager::Certificate']]
****[Configuration Entry Errors: ['Resources.PHAWS::Serverless::HttpApi.Properties.StageName.Ref', 'Resources.PHAWS::Serverless::HttpApi.Properties.Auth.Authorizers.OAuth2Authorizer.JwtConfiguration.audience', 'Resources.PHAWS::Serverless::HttpApi.Properties.CorsConfiguration.MaxAge', 'Resources.PHAWS::Serverless::HttpApi.Properties.CorsConfiguration.AllowMethods', 'Resources.PHAWS::CertificateManager::Certificate.Type', 'Resources.PHAWS::Serverless::HttpApi.Properties.Auth.Authorizers.OAuth2Authorizer.JwtConfiguration.issuer.Fn::ImportValue.Fn::Sub', 'Resources.PHAWS::CertificateManager::Certificate.Properties.DomainValidationOptions', 'Resources.PHAWS::Serverless::HttpApi.Properties.CorsConfiguration.AllowCredentials', 'Resources.PHAWS::CertificateManager::Certificate.Properties.ValidationMethod', 'Resources.PHAWS::CertificateManager::Certificate.Properties.DomainName.Fn::If', 'Resources.PHAWS::Serverless::HttpApi.Properties.Auth.Authorizers.OAuth2Authorizer.IdentitySource', 'Resources.PHAWS::Serverless::HttpApi.Properties.Domain.DomainName.Fn::If', 'Resources.PHAWS::Serverless::HttpApi.Properties.Auth.DefaultAuthorizer', 'Resources.PHAWS::Serverless::HttpApi.Properties.Domain.Route53.HostedZoneId.Fn::FindInMap', 'Resources.PHAWS::Serverless::HttpApi.Properties.CorsConfiguration.AllowHeaders', 'Resources.PHAWS::Serverless::HttpApi.Properties.Domain.SecurityPolicy', 'Resources.PHAWS::Serverless::HttpApi.Properties.Domain.CertificateArn.Ref']]
*****[Configuration Entry Value Errors: [['AWS::Serverless-2016-10-31', {'Name': 'DatadogServerless', 'Parameters': {'stackName': {'Ref': 'AWS::StackName'}, 'apiKey': 'xxxxxxx', 'nodeLayerVersion': 88, 'extensionLayerVersion': 41, 'service': 'XXXX API', 'env': {'Ref': 'Env'}, 'tags': 'App:Xxxxx,Stack:XXXX'}}], 'Template for deploying API Gateway backed by lambda', 'Name of the application', ['Local', 'Dev', 'SIT', 'QA', 'Prod'], 'The Environment tag/naming pre/post-pend', 'Enter the name of the cognito user pool pipeline stack', [{'Ref': 'Env'}, 'Local'], '${Application}-shared-dependency-layer-${Env}', ['nodejs18.x'], 'src/dependencies/shared/nodejs/', 'nodejs18.x', ['http://localhost:4200', {'Fn::FindInMap': ['DomainName', {'Ref': 'Env'}, 'webUrl']}], '${Application}-get-anonymous-sms-send-page-url-${Env}', 'get-anonymous-sms-send-page-url.handler', 'src/handlers/AnonymousSmsSendPageUrl/get-anonymous-sms-send-page-url/', [{'Ref': 'SharedDependencyLayer'}], 'HttpApiGW', '/AnonymousSmsSendPageUrl/{WorkOrderId}/{AffiliateId}', 'HttpApiGW', '/anonymousSmsSendPageUrl/{WorkOrderId}/{AffiliateId}', 'https://${HttpApiGW.DomainName}']]
*****[Configuration Entry Depenency Errors: lacking []]
****[Configuration Value Depenency Errors: lacking []]",1,17,21,0,0,39
DDmethod,case1-github.yaml,"****[Resource Type Errors: ['AllAtOnce']]
****[Configuration Entry Errors: ['Globals.Api.MethodSettings', 'Resources.PHAWS::DynamoDB::Table.Properties.Tags', 'Globals.Function.AutoPublishAlias.Ref', 'Resources.PHAWS::DynamoDB::Table.Condition', 'Globals.Function.PHAllAtOnce.Type', 'Resources.PHAWS::DynamoDB::Table.Properties.GlobalSecondaryIndexes']]
*****[Configuration Entry Value Errors: ['AWS Blueprint for SAM using NestJS and on-demand DynamoDB.  Single lambda serves entire API via proxy+. Supports CORS from ALL origins\n', 'The stage name, also the lambda alias', 'DDB_TABLENAME env var', 'test-SingleTable', 'The SSM parameter key for some secret value', '/stage/repo_name/branch/envs/SECRET_KEY', 'nodejs18.x', ""'DELETE,GET,HEAD,OPTIONS,PATCH,POST,PUT'"", ""'Content-Type,X-Amz-Date,Authorization,X-Api-Key,X-Amz-Security-Token'"", ""'600'"", [{'Fn::Equals': [{'Ref': 'StageName'}, 'staging']}], [{'Ref': 'StageName'}, 'local'], 'StageName', 'DDBTableName', [{'AttributeName': 'PK', 'AttributeType': 'S'}, {'AttributeName': 'SK', 'AttributeType': 'S'}, {'AttributeName': 'GSI1PK', 'AttributeType': 'S'}, {'AttributeName': 'GSI1SK', 'AttributeType': 'S'}], [{'AttributeName': 'PK', 'KeyType': 'HASH'}, {'AttributeName': 'SK', 'KeyType': 'RANGE'}], '${AWS::StackName}--Monolithic', 'dist/apig-lambda.handler', [{'Version': '2012-10-17', 'Statement': [{'Effect': 'Allow', 'Action': ['dynamodb:Batch*', 'dynamodb:Describe*', 'dynamodb:Get*', 'dynamodb:Query', 'dynamodb:Scan', 'dynamodb:DeleteItem', 'dynamodb:UpdateItem', 'dynamodb:PutItem'], 'Resource': {'Fn::Sub': 'arn:aws:dynamodb:*:*:table/${DDBTableName}'}}]}], 'APIG', 'https://${APIG}.execute-api.${AWS::Region}.amazonaws.com/${StageName}/']]
*****[Configuration Entry Depenency Errors: lacking []]
****[Configuration Value Depenency Errors: lacking []]",1,6,21,0,0,28
DDmethod,case20-github.yaml,"****[Resource Type Errors: []]
****[Configuration Entry Errors: ['Resources.PHAWS::Serverless::Function.Properties.Events.PHKinesis.Properties.FilterCriteria.Filters', 'Resources.PHAWS::Kinesis::Stream.Properties.Name', 'Resources.PHAWS::Kinesis::Stream.Properties.RetentionPeriodHours']]
*****[Configuration Entry Value Errors: ['AWS SAM Template FilterCriteria Testing', [{'PolicyName': 'allow-all-Access', 'PolicyDocument': {'Version': '2012-10-17', 'Statement': [{'Effect': 'Allow', 'Action': ['*'], 'Resource': ['*']}]}}], ['LambdaRole', 'Arn'], 'def handler(event, context):\n  print(""Hello, world!"")\n', ['TestStream', 'Arn'], 1]]
*****[Configuration Entry Depenency Errors: lacking []]
****[Configuration Value Depenency Errors: lacking []]",0,3,6,0,0,9
DDmethod,case21-github.yaml,"****[Resource Type Errors: ['PRIVATE', 'AWS::ApiGatewayV2::ApiMapping', 'AWS::ApiGateway::DomainName', 'AWS::Batch::JobDefinition', 'AWS::ECR::Repository', 'AWS::Route53::HostedZone::Id', 'container']]
****[Configuration Entry Errors: ['Resources.PHAWS::Batch::JobDefinition.Properties.ContainerProperties.ResourceRequirements', 'Resources.PHAWS::Batch::JobDefinition.Type', 'Resources.PHAWS::Serverless::Api.Properties.Models.MapGenesModel.oneOf', 'Resources.PHAWS::Batch::JobDefinition.Properties.PlatformCapabilities', 'Resources.PHAWS::Serverless::Api.Properties.Models.MapGenesModel.type', 'Resources.PHAWS::ApiGatewayV2::ApiMapping.Properties.ApiId.Ref', 'Globals.Function.VpcConfig.SubnetIds', 'Resources.PHAWS::ApiGateway::DomainName.Condition', 'Resources.PHAWS::Serverless::Api.Properties.Models.ListDatasetsModel.properties.dataset_type.type', 'Resources.PHAWS::Serverless::Api.Properties.PHPRIVATE.VPCEndpointIds', 'Resources.PHAWS::ApiGatewayV2::ApiMapping.Properties.DomainName.Ref', 'Resources.PHAWS::Batch::JobDefinition.Properties.ContainerProperties.Command', 'Resources.PHAWS::Batch::JobDefinition.Properties.ContainerProperties.Volumes', 'Resources.PHAWS::Serverless::Api.Properties.Auth.ResourcePolicy.CustomStatements', 'Resources.PHAWS::Serverless::Api.Properties.PHPRIVATE.Type', 'Resources.PHAWS::Batch::JobDefinition.Properties.ContainerProperties.LinuxParameters.Tmpfs', 'Resources.PHAWS::Serverless::Function.Properties.Events.PHApi.Properties.RequestModel.Model', 'Resources.PHAWS::Serverless::Api.Properties.Models.GetDataModel.properties.annotations.type', 'Resources.PHAWS::Batch::JobDefinition.Properties.ContainerProperties.MountPoints', 'Resources.PHAWS::ApiGatewayV2::ApiMapping.Properties.ApiMappingKey.Fn::FindInMap', 'Resources.PHAWS::Serverless::Function.Properties.Events.PHApi.Properties.Auth.InvokeRole', 'Resources.PHAWS::Serverless::Function.Properties.Events.PHApi.Properties.RequestModel.ValidateBody', 'Resources.PHAWS::Serverless::Api.Properties.CacheClusterSize', 'Resources.PHAWS::Serverless::Api.Properties.Models.GetDataModel.type', 'Resources.PHAWS::Serverless::Function.Properties.Events.PHEventBridgeRule.Properties.Pattern.detail.jobDefinition', 'Resources.PHAWS::ApiGatewayV2::ApiMapping.Type', 'Resources.PHAWS::Serverless::Api.Properties.CacheClusterEnabled', 'Resources.PHAWS::ECR::Repository.Type', 'Resources.PHAWS::Batch::JobDefinition.Properties.Type', 'Globals.Function.VpcConfig.SecurityGroupIds', 'Resources.PHAWS::Serverless::Api.Properties.Models.ListDatasetsModel.properties.expand.type', 'Resources.PHAWS::Serverless::Api.Properties.MinimumCompressionSize', 'Resources.PHAWS::Serverless::Api.Properties.Models.GetDataModel.properties.limit.type', 'Resources.PHAWS::ApiGateway::DomainName.Properties.RegionalCertificateArn.Ref', 'Resources.PHAWS::Serverless::Api.Properties.Models.ListDatasetsModel.properties.expand.enum', 'Resources.PHAWS::Serverless::Api.Properties.Models.GetDataModel.properties.genes.type', 'Resources.PHAWS::Serverless::Api.Properties.Models.GetDataModel.properties.offset.type', 'Parameters.PHAWS::Route53::HostedZone::Id.Type', 'Resources.PHAWS::Batch::JobDefinition.Properties.ContainerProperties.Environment', 'Resources.PHAWS::Batch::JobDefinition.Properties.ContainerProperties.JobRoleArn.Fn::GetAtt', 'Resources.PHAWS::Serverless::Function.Properties.Events.PHApi.Properties.RequestModel.Required', 'Resources.PHAWS::ApiGatewayV2::ApiMapping.Properties.Stage.Ref', 'Resources.PHAWS::Serverless::Api.Properties.Models.GetDataModel.properties.annotations.items', 'Resources.PHAWS::Serverless::Function.Properties.Events.PHEventBridgeRule.Properties.Target.Id', 'Resources.PHAWS::Batch::JobDefinition.Properties.ContainerProperties.Image.Fn::Join', 'Resources.PHAWS::Serverless::Api.Properties.Models.GetDataModel.properties.agg.enum', 'Resources.PHAWS::Serverless::Api.Properties.Models.GetDataModel.properties.genes.items', 'Resources.PHAWS::Serverless::Api.Properties.Models.ListDatasetsModel.properties.dataset_type.enum', 'Resources.PHAWS::Serverless::Api.Properties.Models.GetDataModel.required', 'Resources.PHAWS::Serverless::Api.Properties.Models.GetDataModel.properties.agg.type', 'Resources.PHAWS::Serverless::Api.Properties.Models.ListDatasetsModel.properties.offset.type', 'Resources.PHAWS::ApiGateway::DomainName.Properties.PHPRIVATE.Types', 'Resources.PHAWS::Serverless::Api.Properties.Models.ListDatasetsModel.type', 'Resources.PHAWS::ApiGateway::DomainName.Type', 'Resources.PHAWS::Serverless::Api.Properties.Models.ListDatasetsModel.properties.limit.type', 'Resources.PHAWS::Batch::JobDefinition.Properties.ContainerProperties.Secrets', 'Resources.PHAWS::ApiGateway::DomainName.Properties.DomainName.Ref', 'Resources.PHAWS::Batch::JobDefinition.Properties.ContainerProperties.ExecutionRoleArn.Fn::Sub', 'Resources.PHAWS::ECR::Repository.DeletionPolicy']]
